Lp;Nr paczki;Wysokość (cm);Szerokość (cm);Długość (cm);Waga (kg)
1;G8VDQ;22;27;27;10
2;4CAPJ;11;19;19;2
3;2E738;18;26;26;2
4;SAGF7;15;21;21;9
5;CWB3M;20;10;10;10
6;TKVQF;27;5;5;5
7;KWE62;14;19;19;14
8;UZ4VE;16;10;10;2
9;CMKAF;15;11;11;10
10;JSFRX;8;18;18;10
11;DULEM;26;26;26;13
12;XXXKD;19;17;17;11
13;5U2AR;17;15;15;14
14;SUGMG;15;18;18;9
15;MPTXQ;6;18;18;5
16;Y786P;26;15;15;11
17;W998D;29;20;20;0
18;MW3B8;19;15;15;2
19;76TY7;24;30;30;10
20;AGSGT;20;18;18;12
21;YU9JH;18;30;30;8
22;P8FM5;16;14;14;11
23;UA4T8;29;20;20;3
24;86V27;12;6;6;14
25;TX4DM;24;16;16;0
26;2DUJL;24;6;6;8
27;E86DG;12;7;7;13
28;ESFK6;28;28;28;4
29;A565P;30;21;21;8
30;54LRU;20;11;11;12
31;JBJDE;15;7;7;8
32;W5HGD;22;7;7;10
33;ULCRP;24;19;19;9
34;KV8Q6;23;28;28;2
35;5R22L;27;18;18;9
36;GWESD;25;7;7;0
37;Z3E96;5;19;19;14
38;KV2T3;7;27;27;8
39;5DE8U;22;10;10;8
40;UHFSX;27;18;18;7
41;CNF4E;12;6;6;3
42;SB2WT;16;13;13;6
43;5NMAM;17;20;20;6
44;HL895;11;11;11;5
45;25963;22;23;23;15
46;TQAZ9;7;9;9;1
47;Y4M5X;17;29;29;5
48;RMYHA;18;13;13;3
49;JDNVE;17;7;7;11
50;Z4QY4;11;5;5;1
51;LQYKM;17;12;12;7
52;R53SV;26;12;12;8
53;2HPEC;24;13;13;11
54;DVQ35;18;10;10;7
55;RB95X;25;28;28;7
56;DVSUL;12;7;7;14
57;L63BG;16;19;19;11
58;ESC8B;16;23;23;0
59;YZJD5;27;16;16;11
60;MGQ3A;19;16;16;11
61;LJCKE;18;26;26;2
62;ZN2H9;13;21;21;4
63;CU65V;18;21;21;1
64;D9EF8;11;16;16;15
65;F5XQ9;26;22;22;9
66;S3G9V;26;24;24;15
67;GK6KU;10;21;21;3
68;BA93H;28;9;9;10
69;96352;28;6;6;0
70;P82TE;13;13;13;8
71;YZAMF;27;26;26;6
72;959G4;30;24;24;8
73;UPERY;30;14;14;4
74;ZSYZL;30;6;6;14
75;8YG2U;6;27;27;11
76;8FTZY;24;24;24;7
77;XPPY2;21;14;14;4
78;VXWU6;24;16;16;1
79;QFKVW;15;9;9;8
80;9MFYC;28;9;9;5
81;SW3YN;7;26;26;7
82;MXU7N;23;25;25;5
83;KV4YK;26;29;29;10
84;UL8G6;6;20;20;14
85;5XBEK;25;27;27;13
86;YDW64;20;27;27;0
87;YNQSD;25;19;19;11
88;563Q3;7;27;27;1
89;FZNAQ;16;23;23;9
90;XU2W2;30;13;13;15
91;XRQZW;17;19;19;13
92;ZPZML;16;28;28;10
93;UCYAU;15;28;28;10
94;36QUL;19;18;18;8
95;H2CW2;29;22;22;2
96;SLLJ8;16;24;24;2
97;D7QUW;13;10;10;0
98;CKC4X;14;21;21;14
99;NNZCP;11;17;17;14
100;K6L2Q;26;10;10;7
101;XAHZX;9;14;14;4
102;9H9LS;13;26;26;1
103;8QPNA;12;21;21;0
104;CRLEL;24;18;18;8
105;9TZYW;10;9;9;13
106;EASR3;29;5;5;12
107;9E3G5;26;30;30;10
108;QGCPS;11;7;7;9
109;UN9A3;10;6;6;13
110;ADJLH;26;23;23;0
111;UK3KA;13;11;11;0
112;PQB87;6;23;23;5
113;47CVE;9;25;25;1
114;7CLAS;19;21;21;4
115;5V65W;17;13;13;5
116;X5Z8F;5;10;10;0
117;9TR25;28;21;21;14
118;RGKSE;27;9;9;3
119;HLCK8;9;6;6;6
120;GHATH;13;23;23;0
121;TP5PJ;27;28;28;5
122;RDDGB;15;14;14;11
123;JFUZ8;13;21;21;0
124;PHEZZ;7;17;17;15
125;K8CNJ;15;18;18;12
126;AURBE;24;11;11;1
127;ZUTU9;22;26;26;3
128;3CC7J;30;12;12;9
129;EFQY7;6;30;30;10
130;NDET4;17;23;23;10
131;6538H;17;18;18;9
132;B83S9;26;9;9;13
